"","year","SupportSetting","Sector","Expenditure"
"1",2015,"U65 LEARNING DISABILITY","External",4199657.47
"2",2015,"U65 LEARNING DISABILITY","In House",652606.98
"3",2015,"U65 LEARNING DISABILITY","Total",4867442.9
"4",2015,"U65 MENTAL HEALTH","External",654603.85
"5",2015,"U65 MENTAL HEALTH","In House",56826.35
"6",2015,"U65 MENTAL HEALTH","Total",730378.38
"7",2015,"U65 PHYSICAL DISABILITY","External",1247689.38
"8",2015,"U65 PHYSICAL DISABILITY","In House",116200.41
"9",2015,"U65 PHYSICAL DISABILITY","Total",1371850.57
"10",2016,"U65 LEARNING DISABILITY","External",4446159.16832743
"11",2016,"U65 LEARNING DISABILITY","In House",607778.868726783
"12",2016,"U65 LEARNING DISABILITY","Total",5061194.08275476
"13",2016,"U65 MENTAL HEALTH","External",687197.564573722
"14",2016,"U65 MENTAL HEALTH","In House",45153.008154025
"15",2016,"U65 MENTAL HEALTH","Total",746524.410074863
"16",2016,"U65 PHYSICAL DISABILITY","External",1232392.5927474
"17",2016,"U65 PHYSICAL DISABILITY","In House",103277.91824016
"18",2016,"U65 PHYSICAL DISABILITY","Total",1339784.00971883
"19",2017,"U65 LEARNING DISABILITY","External",4704043.61698319
"20",2017,"U65 LEARNING DISABILITY","In House",563130.283515672
"21",2017,"U65 LEARNING DISABILITY","Total",5273545.91125485
"22",2017,"U65 MENTAL HEALTH","External",730760.945865487
"23",2017,"U65 MENTAL HEALTH","In House",45260.89436749
"24",2017,"U65 MENTAL HEALTH","Total",789380.844972361
"25",2017,"U65 PHYSICAL DISABILITY","External",1288165.83648583
"26",2017,"U65 PHYSICAL DISABILITY","In House",88458.796314794
"27",2017,"U65 PHYSICAL DISABILITY","Total",1380423.46442571
"28",2018,"U65 LEARNING DISABILITY","External",9947589.9857026
"29",2018,"U65 LEARNING DISABILITY","In House",1035601.46352209
"30",2018,"U65 LEARNING DISABILITY","Total",14803619.3098821
"31",2018,"U65 MENTAL HEALTH","External",1539603.51919016
"32",2018,"U65 MENTAL HEALTH","In House",80885.627290458
"33",2018,"U65 MENTAL HEALTH","Total",2225026.2076949
"34",2018,"U65 PHYSICAL DISABILITY","External",2650413.50426598
"35",2018,"U65 PHYSICAL DISABILITY","In House",181962.399922568
"36",2018,"U65 PHYSICAL DISABILITY","Total",3834505.91642486
"37",2019,"U65 LEARNING DISABILITY","External",10450231.4564611
"38",2019,"U65 LEARNING DISABILITY","In House",1073328.89384883
"39",2019,"U65 LEARNING DISABILITY","Total",15864003.4101469
"40",2019,"U65 MENTAL HEALTH","External",1676419.9592336
"41",2019,"U65 MENTAL HEALTH","In House",85247.282212443
"42",2019,"U65 MENTAL HEALTH","Total",2433836.91557182
"43",2019,"U65 PHYSICAL DISABILITY","External",2791835.34541627
"44",2019,"U65 PHYSICAL DISABILITY","In House",189840.727520309
"45",2019,"U65 PHYSICAL DISABILITY","Total",4229853.45891942
"46",2020,"U65 LEARNING DISABILITY","External",10976392.6983864
"47",2020,"U65 LEARNING DISABILITY","In House",1053701.93756526
"48",2020,"U65 LEARNING DISABILITY","Total",16124797.2824772
"49",2020,"U65 MENTAL HEALTH","External",1781249.73880415
"50",2020,"U65 MENTAL HEALTH","In House",76299.729593551
"51",2020,"U65 MENTAL HEALTH","Total",2541229.51245372
"52",2020,"U65 PHYSICAL DISABILITY","External",2933312.84745267
"53",2020,"U65 PHYSICAL DISABILITY","In House",179893.62655377
"54",2020,"U65 PHYSICAL DISABILITY","Total",4272904.75346708
"55",2021,"U65 LEARNING DISABILITY","External",11469099.5500903
"56",2021,"U65 LEARNING DISABILITY","In House",946044.503107094
"57",2021,"U65 LEARNING DISABILITY","Total",16822484.1414883
"58",2021,"U65 MENTAL HEALTH","External",2020236.49853505
"59",2021,"U65 MENTAL HEALTH","In House",74087.889457862
"60",2021,"U65 MENTAL HEALTH","Total",2867602.21445141
"61",2021,"U65 PHYSICAL DISABILITY","External",3152298.53441783
"62",2021,"U65 PHYSICAL DISABILITY","In House",162234.793198723
"63",2021,"U65 PHYSICAL DISABILITY","Total",4478841.07298267
"64",2022,"U65 LEARNING DISABILITY","External",11864499
"65",2022,"U65 LEARNING DISABILITY","In House",958116
"66",2022,"U65 LEARNING DISABILITY","Total",16358380
"67",2022,"U65 MENTAL HEALTH","External",2291718
"68",2022,"U65 MENTAL HEALTH","In House",78020
"69",2022,"U65 MENTAL HEALTH","Total",3032564
"70",2022,"U65 PHYSICAL DISABILITY","External",3369074
"71",2022,"U65 PHYSICAL DISABILITY","In House",205409
"72",2022,"U65 PHYSICAL DISABILITY","Total",4593990
"73",2023,"U65 LEARNING DISABILITY","External",12823016
"74",2023,"U65 LEARNING DISABILITY","In House",1088396
"75",2023,"U65 LEARNING DISABILITY","Total",18504127
"76",2023,"U65 MENTAL HEALTH","External",2565780
"77",2023,"U65 MENTAL HEALTH","In House",86149
"78",2023,"U65 MENTAL HEALTH","Total",3534872
"79",2023,"U65 PHYSICAL DISABILITY","External",3605270
"80",2023,"U65 PHYSICAL DISABILITY","In House",210840
"81",2023,"U65 PHYSICAL DISABILITY","Total",5225360
