"","ownership","rating","N","total","percent","date","year"
"1","For-profit","Good",762,1134,67.1957671957672,2015-12-25,2015
"2","For-profit","Inadequate",30,1134,2.64550264550265,2015-12-25,2015
"3","For-profit","Outstanding",8,1134,0.705467372134039,2015-12-25,2015
"4","For-profit","Requires improvement",334,1134,29.4532627865961,2015-12-25,2015
"5","Local Authority","Good",48,54,88.8888888888889,2015-12-25,2015
"6","Local Authority","Inadequate",0,54,0,2015-12-25,2015
"7","Local Authority","Outstanding",0,54,0,2015-12-25,2015
"8","Local Authority","Requires improvement",6,54,11.1111111111111,2015-12-25,2015
"9","Third sector","Good",146,164,89.0243902439024,2015-12-25,2015
"10","Third sector","Inadequate",0,164,0,2015-12-25,2015
"11","Third sector","Outstanding",1,164,0.609756097560976,2015-12-25,2015
"12","Third sector","Requires improvement",17,164,10.3658536585366,2015-12-25,2015
"13","For-profit","Good",2573,3335,77.1514242878561,2016-12-30,2016
"14","For-profit","Inadequate",49,3335,1.46926536731634,2016-12-30,2016
"15","For-profit","Outstanding",48,3335,1.43928035982009,2016-12-30,2016
"16","For-profit","Requires improvement",665,3335,19.9400299850075,2016-12-30,2016
"17","Local Authority","Good",199,224,88.8392857142857,2016-12-30,2016
"18","Local Authority","Inadequate",0,224,0,2016-12-30,2016
"19","Local Authority","Outstanding",4,224,1.78571428571429,2016-12-30,2016
"20","Local Authority","Requires improvement",21,224,9.375,2016-12-30,2016
"21","Third sector","Good",479,545,87.8899082568807,2016-12-30,2016
"22","Third sector","Inadequate",1,545,0.18348623853211,2016-12-30,2016
"23","Third sector","Outstanding",3,545,0.55045871559633,2016-12-30,2016
"24","Third sector","Requires improvement",62,545,11.3761467889908,2016-12-30,2016
"25","For-profit","Good",3579,4495,79.6218020022247,2017-12-29,2017
"26","For-profit","Inadequate",39,4495,0.867630700778643,2017-12-29,2017
"27","For-profit","Outstanding",112,4495,2.4916573971079,2017-12-29,2017
"28","For-profit","Requires improvement",765,4495,17.0189098998888,2017-12-29,2017
"29","Local Authority","Good",228,253,90.1185770750988,2017-12-29,2017
"30","Local Authority","Inadequate",0,253,0,2017-12-29,2017
"31","Local Authority","Outstanding",6,253,2.37154150197628,2017-12-29,2017
"32","Local Authority","Requires improvement",19,253,7.5098814229249,2017-12-29,2017
"33","Third sector","Good",578,644,89.7515527950311,2017-12-29,2017
"34","Third sector","Inadequate",3,644,0.46583850931677,2017-12-29,2017
"35","Third sector","Outstanding",10,644,1.5527950310559,2017-12-29,2017
"36","Third sector","Requires improvement",53,644,8.22981366459627,2017-12-29,2017
"37","For-profit","Good",4426,5437,81.405186683833,2018-12-28,2018
"38","For-profit","Inadequate",31,5437,0.570167371712341,2018-12-28,2018
"39","For-profit","Outstanding",193,5437,3.54975170130587,2018-12-28,2018
"40","For-profit","Requires improvement",787,5437,14.4748942431488,2018-12-28,2018
"41","Local Authority","Good",255,281,90.7473309608541,2018-12-28,2018
"42","Local Authority","Inadequate",0,281,0,2018-12-28,2018
"43","Local Authority","Outstanding",10,281,3.55871886120996,2018-12-28,2018
"44","Local Authority","Requires improvement",16,281,5.69395017793594,2018-12-28,2018
"45","Third sector","Good",622,690,90.1449275362319,2018-12-28,2018
"46","Third sector","Inadequate",0,690,0,2018-12-28,2018
"47","Third sector","Outstanding",20,690,2.89855072463768,2018-12-28,2018
"48","Third sector","Requires improvement",48,690,6.95652173913043,2018-12-28,2018
"49","For-profit","Good",4936,6116,80.7063440156965,2019-12-27,2019
"50","For-profit","Inadequate",49,6116,0.801177240026161,2019-12-27,2019
"51","For-profit","Outstanding",295,6116,4.82341399607587,2019-12-27,2019
"52","For-profit","Requires improvement",836,6116,13.6690647482014,2019-12-27,2019
"53","Local Authority","Good",263,302,87.0860927152318,2019-12-27,2019
"54","Local Authority","Inadequate",1,302,0.33112582781457,2019-12-27,2019
"55","Local Authority","Outstanding",17,302,5.62913907284768,2019-12-27,2019
"56","Local Authority","Requires improvement",21,302,6.95364238410596,2019-12-27,2019
"57","Third sector","Good",608,681,89.28046989721,2019-12-27,2019
"58","Third sector","Inadequate",1,681,0.146842878120411,2019-12-27,2019
"59","Third sector","Outstanding",26,681,3.81791483113069,2019-12-27,2019
"60","Third sector","Requires improvement",46,681,6.75477239353891,2019-12-27,2019
"61","For-profit","Good",4947,6113,80.9258956322591,2020-12-25,2020
"62","For-profit","Inadequate",36,6113,0.588908882708981,2020-12-25,2020
"63","For-profit","Outstanding",327,6113,5.34925568460658,2020-12-25,2020
"64","For-profit","Requires improvement",803,6113,13.1359398004253,2020-12-25,2020
"65","Local Authority","Good",265,302,87.7483443708609,2020-12-25,2020
"66","Local Authority","Inadequate",1,302,0.33112582781457,2020-12-25,2020
"67","Local Authority","Outstanding",19,302,6.29139072847682,2020-12-25,2020
"68","Local Authority","Requires improvement",17,302,5.62913907284768,2020-12-25,2020
"69","Third sector","Good",578,646,89.4736842105263,2020-12-25,2020
"70","Third sector","Inadequate",2,646,0.309597523219814,2020-12-25,2020
"71","Third sector","Outstanding",26,646,4.02476780185759,2020-12-25,2020
"72","Third sector","Requires improvement",40,646,6.19195046439629,2020-12-25,2020
"73","For-profit","Good",5247,6494,80.7976593778873,2021-12-31,2021
"74","For-profit","Inadequate",58,6494,0.893132121958731,2021-12-31,2021
"75","For-profit","Outstanding",329,6494,5.06621496766246,2021-12-31,2021
"76","For-profit","Requires improvement",860,6494,13.2429935324915,2021-12-31,2021
"77","Local Authority","Good",271,303,89.4389438943894,2021-12-31,2021
"78","Local Authority","Inadequate",0,303,0,2021-12-31,2021
"79","Local Authority","Outstanding",20,303,6.6006600660066,2021-12-31,2021
"80","Local Authority","Requires improvement",12,303,3.96039603960396,2021-12-31,2021
"81","Third sector","Good",556,622,89.3890675241157,2021-12-31,2021
"82","Third sector","Inadequate",2,622,0.321543408360129,2021-12-31,2021
"83","Third sector","Outstanding",27,622,4.34083601286174,2021-12-31,2021
"84","Third sector","Requires improvement",37,622,5.94855305466238,2021-12-31,2021
"85","For-profit","Good",5752,7217,79.7007066648192,2022-12-30,2022
"86","For-profit","Inadequate",66,7217,0.914507413052515,2022-12-30,2022
"87","For-profit","Outstanding",327,7217,4.53096854648746,2022-12-30,2022
"88","For-profit","Requires improvement",1072,7217,14.8538173756408,2022-12-30,2022
"89","Local Authority","Good",274,309,88.673139158576,2022-12-30,2022
"90","Local Authority","Inadequate",0,309,0,2022-12-30,2022
"91","Local Authority","Outstanding",18,309,5.8252427184466,2022-12-30,2022
"92","Local Authority","Requires improvement",17,309,5.50161812297735,2022-12-30,2022
"93","Third sector","Good",525,595,88.2352941176471,2022-12-30,2022
"94","Third sector","Inadequate",2,595,0.336134453781513,2022-12-30,2022
"95","Third sector","Outstanding",26,595,4.36974789915966,2022-12-30,2022
"96","Third sector","Requires improvement",42,595,7.05882352941176,2022-12-30,2022
"97","For-profit","Good",5894,7415,79.4875252865812,2023-12-29,2023
"98","For-profit","Inadequate",55,7415,0.74173971679029,2023-12-29,2023
"99","For-profit","Outstanding",329,7415,4.43695212407283,2023-12-29,2023
"100","For-profit","Requires improvement",1137,7415,15.3337828725556,2023-12-29,2023
"101","Local Authority","Good",272,305,89.1803278688525,2023-12-29,2023
"102","Local Authority","Inadequate",0,305,0,2023-12-29,2023
"103","Local Authority","Outstanding",19,305,6.22950819672131,2023-12-29,2023
"104","Local Authority","Requires improvement",14,305,4.59016393442623,2023-12-29,2023
"105","Third sector","Good",482,556,86.6906474820144,2023-12-29,2023
