"","year","SupportSetting","Sector","Expenditure"
"1",2015,"Direct payments","External",452932.54
"2",2015,"Direct payments","In House",3517.2
"3",2015,"Direct payments","Total",456633.75
"4",2015,"Home care","External",1443655.67
"5",2015,"Home care","In House",103513.02
"6",2015,"Home care","Total",1548391.94
"7",2015,"Nursing home placements","External",1481872.08
"8",2015,"Nursing home placements","Total",1482667.45
"9",2015,"Residential care home placements","External",2946137.22
"10",2015,"Residential care home placements","In House",287694.19
"11",2015,"Residential care home placements","Total",3239785.4
"12",2015,"Supported and other accommodation","External",73029.33
"13",2015,"Supported and other accommodation","In House",28840.02
"14",2015,"Supported and other accommodation","Total",102844.36
"15",2015,"Total over 65","External",7034092.63
"16",2015,"Total over 65","In House",1021345.59
"17",2015,"Total over 65","Total",8089689.98
"18",2016,"Direct payments","External",508235.457891508
"19",2016,"Direct payments","In House",3629.29063781
"20",2016,"Direct payments","Total",511874.748529318
"21",2016,"Home care","External",1475076.37781418
"22",2016,"Home care","In House",87174.671408547
"23",2016,"Home care","Total",1564071.04922272
"24",2016,"Nursing home placements","External",1500962.647086
"25",2016,"Nursing home placements","Total",1501364.647086
"26",2016,"Residential care home placements","External",2927105.89742466
"27",2016,"Residential care home placements","In House",261588.083337984
"28",2016,"Residential care home placements","Total",3194097.67494504
"29",2016,"Supported and other accommodation","External",184993.69600097
"30",2016,"Supported and other accommodation","In House",19539.977826124
"31",2016,"Supported and other accommodation","Total",204768.452385884
"32",2016,"Total over 65","External",7139949.62259101
"33",2016,"Total over 65","In House",953244.326273775
"34",2016,"Total over 65","Total",8123063.60634306
"35",2017,"Direct payments","External",526239.855415323
"36",2017,"Direct payments","In House",5792.79839
"37",2017,"Direct payments","Total",532320.522277823
"38",2017,"Home care","External",1577592.9137876
"39",2017,"Home care","In House",73934.125732569
"40",2017,"Home care","Total",1652928.07452017
"41",2017,"Nursing home placements","External",1599689.92966012
"42",2017,"Nursing home placements","Total",1600627.11251162
"43",2017,"Residential care home placements","External",3046123.61702312
"44",2017,"Residential care home placements","In House",218082.878802984
"45",2017,"Residential care home placements","Total",3266087.3128261
"46",2017,"Supported and other accommodation","External",217618.573607084
"47",2017,"Supported and other accommodation","In House",16826.36669878
"48",2017,"Supported and other accommodation","Total",234661.940305864
"49",2017,"Total over 65","External",7552758.07405656
"50",2017,"Total over 65","In House",838350.144193896
"51",2017,"Total over 65","Total",8405424.45630132
"52",2018,"Direct payments","External",547790.5040382
"53",2018,"Direct payments","In House",5743.9399
"54",2018,"Direct payments","Total",553708.1543202
"55",2018,"Home care","External",1664139.841919
"56",2018,"Home care","In House",72469.7333523
"57",2018,"Home care","Total",1739344.575279
"58",2018,"Nursing home placements","External",1661916.540274
