"","year","ownership","number_carehomes","number_carehome_beds","pct_homes","pct_beds"
"1",2011,"For-profit",4696,92762,78.9376365775761,85.7882714165488
"2",2011,"Local Authority",321,4423,5.3958648512355,4.0904845138677
"3",2011,"Third Sector",932,10944,15.6664985711884,10.1212440695836
"4",2012,"For-profit",4959,101219,79.9967736731731,86.0837543161368
"5",2012,"Local Authority",287,4506,4.62977899661236,3.83221921722713
"6",2012,"Third Sector",953,11857,15.3734473302146,10.084026466636
"7",2013,"For-profit",5254,109666,80.6446661550269,86.578193215281
"8",2013,"Local Authority",263,4562,4.03683806600154,3.60156946955403
"9",2013,"Third Sector",998,12439,15.3184957789716,9.82023731516496
"10",2014,"For-profit",5620,119167,81.5438189204875,86.9825767695126
"11",2014,"Local Authority",263,4708,3.81601857225769,3.43647126663309
"12",2014,"Third Sector",1009,13126,14.6401625072548,9.58095196385428
"13",2015,"For-profit",5857,128576,82.0998037566582,87.5047639788752
"14",2015,"Local Authority",274,4769,3.84076254555649,3.24563075080307
"15",2015,"Third Sector",1003,13591,14.0594336977853,9.24960527032177
"16",2016,"For-profit",6175,142351,82.7526132404181,88.257796515593
"17",2016,"Local Authority",271,4866,3.631734119539,3.01692603385207
"18",2016,"Third Sector",1016,14073,13.6156526400429,8.7252774505549
"19",2017,"For-profit",6477,158441,83.5418547658971,88.8999236915342
"20",2017,"Local Authority",271,5121,3.49542112730556,2.8733503905198
"21",2017,"Third Sector",1005,14662,12.9627241067974,8.22672591794596
"22",2018,"For-profit",6704,169671,84.3907351460222,89.2197589550512
"23",2018,"Local Authority",268,5226,3.37361530715005,2.74803861767242
"24",2018,"Third Sector",972,15275,12.2356495468278,8.03220242727636
"25",2019,"For-profit",6889,181517,85.0493827160494,89.507630858749
"26",2019,"Local Authority",261,5410,3.22222222222222,2.66771863211618
"27",2019,"Third Sector",950,15868,11.7283950617284,7.82465050913484
"28",2020,"For-profit",7124,193360,85.5324768879817,89.7737085975876
"29",2020,"Local Authority",277,5740,3.32572937927722,2.66498286796728
"30",2020,"Third Sector",928,16286,11.141793732741,7.56130853444514
"31",2021,"For-profit",7290,206871,86.2926136363636,90.1791630340017
"32",2021,"Local Authority",277,5939,3.27888257575758,2.58892763731473
"33",2021,"Third Sector",881,16590,10.4285037878788,7.23190932868352
"34",2022,"For-profit",7393,220055,87.0071790043545,90.5781143880302
"35",2022,"Local Authority",268,6128,3.15405437213134,2.52238160900615
"36",2022,"Third Sector",836,16762,9.83876662351418,6.89950400296363
"37",2023,"For-profit",7488,236903,87.5687054145714,90.7743888420569
"38",2023,"Local Authority",267,6783,3.12244181967021,2.59904973561192
"39",2023,"Third Sector",796,17294,9.30885276575839,6.62656142233121
"40",2024,"For-profit",7675,260065,88.3911090636877,91.316881675878
"41",2024,"Local Authority",258,6921,2.97132327536566,2.43017760205622
"42",2024,"Third Sector",750,17808,8.63756766094668,6.25294072206577
