"","ownership","rating","N","total","percent","date","year"
"1","For-profit","Good",1055,1559,67.6715843489416,2015-12-25,2015
"2","For-profit","Inadequate",37,1559,2.37331622835151,2015-12-25,2015
"3","For-profit","Outstanding",9,1559,0.577293136626042,2015-12-25,2015
"4","For-profit","Requires improvement",458,1559,29.3778062860808,2015-12-25,2015
"5","Local Authority","Good",96,106,90.5660377358491,2015-12-25,2015
"6","Local Authority","Inadequate",0,106,0,2015-12-25,2015
"7","Local Authority","Outstanding",0,106,0,2015-12-25,2015
"8","Local Authority","Requires improvement",10,106,9.43396226415094,2015-12-25,2015
"9","Third sector","Good",242,279,86.7383512544803,2015-12-25,2015
"10","Third sector","Inadequate",1,279,0.3584229390681,2015-12-25,2015
"11","Third sector","Outstanding",2,279,0.716845878136201,2015-12-25,2015
"12","Third sector","Requires improvement",34,279,12.1863799283154,2015-12-25,2015
"13","For-profit","Good",3499,4520,77.4115044247788,2016-12-30,2016
"14","For-profit","Inadequate",60,4520,1.32743362831858,2016-12-30,2016
"15","For-profit","Outstanding",64,4520,1.41592920353982,2016-12-30,2016
"16","For-profit","Requires improvement",897,4520,19.8451327433628,2016-12-30,2016
"17","Local Authority","Good",306,340,90,2016-12-30,2016
"18","Local Authority","Inadequate",1,340,0.294117647058824,2016-12-30,2016
"19","Local Authority","Outstanding",5,340,1.47058823529412,2016-12-30,2016
"20","Local Authority","Requires improvement",28,340,8.23529411764706,2016-12-30,2016
"21","Third sector","Good",792,918,86.2745098039216,2016-12-30,2016
"22","Third sector","Inadequate",6,918,0.65359477124183,2016-12-30,2016
"23","Third sector","Outstanding",11,918,1.19825708061002,2016-12-30,2016
"24","Third sector","Requires improvement",109,918,11.8736383442266,2016-12-30,2016
"25","For-profit","Good",4725,5885,80.2888700084962,2017-12-29,2017
"26","For-profit","Inadequate",54,5885,0.917587085811385,2017-12-29,2017
"27","For-profit","Outstanding",138,5885,2.34494477485132,2017-12-29,2017
"28","For-profit","Requires improvement",968,5885,16.4485981308411,2017-12-29,2017
"29","Local Authority","Good",328,362,90.6077348066298,2017-12-29,2017
"30","Local Authority","Inadequate",0,362,0,2017-12-29,2017
"31","Local Authority","Outstanding",7,362,1.93370165745856,2017-12-29,2017
"32","Local Authority","Requires improvement",27,362,7.4585635359116,2017-12-29,2017
"33","Third sector","Good",935,1049,89.1325071496664,2017-12-29,2017
"34","Third sector","Inadequate",3,1049,0.285986653956149,2017-12-29,2017
"35","Third sector","Outstanding",23,1049,2.19256434699714,2017-12-29,2017
"36","Third sector","Requires improvement",88,1049,8.38894184938036,2017-12-29,2017
"37","For-profit","Good",5668,6899,82.156834323815,2018-12-28,2018
"38","For-profit","Inadequate",42,6899,0.608783881721989,2018-12-28,2018
"39","For-profit","Outstanding",235,6899,3.40629076677779,2018-12-28,2018
"40","For-profit","Requires improvement",954,6899,13.8280910276852,2018-12-28,2018
"41","Local Authority","Good",361,395,91.3924050632911,2018-12-28,2018
"42","Local Authority","Inadequate",0,395,0,2018-12-28,2018
"43","Local Authority","Outstanding",13,395,3.29113924050633,2018-12-28,2018
"44","Local Authority","Requires improvement",21,395,5.31645569620253,2018-12-28,2018
"45","Third sector","Good",957,1061,90.1979264844486,2018-12-28,2018
"46","Third sector","Inadequate",0,1061,0,2018-12-28,2018
"47","Third sector","Outstanding",37,1061,3.48727615457116,2018-12-28,2018
"48","Third sector","Requires improvement",67,1061,6.31479736098021,2018-12-28,2018
"49","For-profit","Good",6188,7607,81.3461285657947,2019-12-27,2019
"50","For-profit","Inadequate",58,7607,0.762455632969633,2019-12-27,2019
"51","For-profit","Outstanding",351,7607,4.61417115814382,2019-12-27,2019
"52","For-profit","Requires improvement",1010,7607,13.2772446430919,2019-12-27,2019
"53","Local Authority","Good",372,424,87.7358490566038,2019-12-27,2019
"54","Local Authority","Inadequate",1,424,0.235849056603774,2019-12-27,2019
"55","Local Authority","Outstanding",21,424,4.95283018867925,2019-12-27,2019
"56","Local Authority","Requires improvement",30,424,7.07547169811321,2019-12-27,2019
"57","Third sector","Good",913,1031,88.5548011639185,2019-12-27,2019
"58","Third sector","Inadequate",3,1031,0.2909796314258,2019-12-27,2019
"59","Third sector","Outstanding",51,1031,4.9466537342386,2019-12-27,2019
"60","Third sector","Requires improvement",64,1031,6.20756547041707,2019-12-27,2019
"61","For-profit","Good",6136,7537,81.4117022688072,2020-12-25,2020
"62","For-profit","Inadequate",43,7537,0.57051877404803,2020-12-25,2020
"63","For-profit","Outstanding",385,7537,5.1081332094998,2020-12-25,2020
"64","For-profit","Requires improvement",973,7537,12.909645747645,2020-12-25,2020
"65","Local Authority","Good",372,420,88.5714285714286,2020-12-25,2020
"66","Local Authority","Inadequate",1,420,0.238095238095238,2020-12-25,2020
"67","Local Authority","Outstanding",25,420,5.95238095238095,2020-12-25,2020
"68","Local Authority","Requires improvement",22,420,5.23809523809524,2020-12-25,2020
"69","Third sector","Good",867,980,88.469387755102,2020-12-25,2020
"70","Third sector","Inadequate",3,980,0.306122448979592,2020-12-25,2020
"71","Third sector","Outstanding",54,980,5.51020408163265,2020-12-25,2020
"72","Third sector","Requires improvement",56,980,5.71428571428571,2020-12-25,2020
"73","For-profit","Good",6455,7935,81.3484562066793,2021-12-31,2021
"74","For-profit","Inadequate",71,7935,0.894770006301197,2021-12-31,2021
"75","For-profit","Outstanding",385,7935,4.85192186515438,2021-12-31,2021
"76","For-profit","Requires improvement",1024,7935,12.9048519218652,2021-12-31,2021
"77","Local Authority","Good",366,407,89.9262899262899,2021-12-31,2021
"78","Local Authority","Inadequate",0,407,0,2021-12-31,2021
"79","Local Authority","Outstanding",24,407,5.8968058968059,2021-12-31,2021
"80","Local Authority","Requires improvement",17,407,4.17690417690418,2021-12-31,2021
"81","Third sector","Good",823,929,88.5898815931109,2021-12-31,2021
"82","Third sector","Inadequate",4,929,0.430570505920344,2021-12-31,2021
"83","Third sector","Outstanding",51,929,5.48977395048439,2021-12-31,2021
"84","Third sector","Requires improvement",51,929,5.48977395048439,2021-12-31,2021
"85","For-profit","Good",6951,8672,80.1545202952029,2022-12-30,2022
"86","For-profit","Inadequate",83,8672,0.95710332103321,2022-12-30,2022
"87","For-profit","Outstanding",380,8672,4.38191881918819,2022-12-30,2022
"88","For-profit","Requires improvement",1258,8672,14.5064575645756,2022-12-30,2022
"89","Local Authority","Good",365,409,89.242053789731,2022-12-30,2022
"90","Local Authority","Inadequate",0,409,0,2022-12-30,2022
"91","Local Authority","Outstanding",22,409,5.37897310513447,2022-12-30,2022
"92","Local Authority","Requires improvement",22,409,5.37897310513447,2022-12-30,2022
"93","Third sector","Good",775,888,87.2747747747748,2022-12-30,2022
"94","Third sector","Inadequate",2,888,0.225225225225225,2022-12-30,2022
"95","Third sector","Outstanding",49,888,5.51801801801802,2022-12-30,2022
"96","Third sector","Requires improvement",62,888,6.98198198198198,2022-12-30,2022
"97","For-profit","Good",7076,8827,80.1631358332389,2023-12-29,2023
"98","For-profit","Inadequate",67,8827,0.759034779653336,2023-12-29,2023
"99","For-profit","Outstanding",379,8827,4.29364449983007,2023-12-29,2023
"100","For-profit","Requires improvement",1305,8827,14.7841848872777,2023-12-29,2023
"101","Local Authority","Good",364,406,89.6551724137931,2023-12-29,2023
"102","Local Authority","Inadequate",0,406,0,2023-12-29,2023
"103","Local Authority","Outstanding",23,406,5.66502463054187,2023-12-29,2023
"104","Local Authority","Requires improvement",19,406,4.67980295566502,2023-12-29,2023
"105","Third sector","Good",715,833,85.8343337334934,2023-12-29,2023
"106","Third sector","Inadequate",3,833,0.360144057623049,2023-12-29,2023
"107","Third sector","Outstanding",45,833,5.40216086434574,2023-12-29,2023
"108","Third sector","Requires improvement",70,833,8.40336134453782,2023-12-29,2023
"109","For-profit","Good",6838,8486,80.5797784586377,2024-12-27,2024
"110","For-profit","Inadequate",48,8486,0.565637520622201,2024-12-27,2024
"111","For-profit","Outstanding",375,8486,4.41904312986095,2024-12-27,2024
"112","For-profit","Requires improvement",1225,8486,14.4355408908791,2024-12-27,2024
"113","Local Authority","Good",358,398,89.9497487437186,2024-12-27,2024
"114","Local Authority","Inadequate",0,398,0,2024-12-27,2024
"115","Local Authority","Outstanding",23,398,5.77889447236181,2024-12-27,2024
"116","Local Authority","Requires improvement",17,398,4.2713567839196,2024-12-27,2024
"117","Third sector","Good",672,787,85.3875476493011,2024-12-27,2024
"118","Third sector","Inadequate",4,787,0.508259212198221,2024-12-27,2024
"119","Third sector","Outstanding",45,787,5.71791613722999,2024-12-27,2024
"120","Third sector","Requires improvement",66,787,8.38627700127065,2024-12-27,2024
